member_id,scope,committee_id,committee_name,role,aanwezig,afwezig,verontschuldigd
3430,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",niet-lid-aanwezigheid,1.0,,
3430,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,1.0,,
3430,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
3430,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,2.0,,
3430,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",plaatsvervangend-lid-aanwezigheid,69.0,,10.0
3430,commissie,1832504.0,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,plaatsvervangend-lid-aanwezigheid,1.0,,
4386,plenaire,,,,65.0,8.0,12.0
4386,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",vast-lid-aanwezigheid,33.0,33.0,14.0
4386,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,1.0,,
4386,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,3.0,,
4386,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,1.0,,
4386,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,10.0,,
4386,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast-lid-aanwezigheid,36.0,36.0,25.0
4650,plenaire,,,,77.0,2.0,6.0
4650,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,1.0,,
4650,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",vast-lid-aanwezigheid,32.0,,28.0
4650,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",plaatsvervangend-lid-aanwezigheid,8.0,,2.0
4650,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
4650,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",plaatsvervangend-lid-aanwezigheid,12.0,,1.0
4607,plenaire,,,,82.0,,3.0
4607,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,2.0,,
4607,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,plaatsvervangend-lid-aanwezigheid,29.0,,1.0
4607,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,1.0,,
4607,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend-lid-aanwezigheid,,,1.0
4607,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,3.0,,
4607,commissie,1832497.0,Commissie voor Onderwijs,vast-lid-aanwezigheid,110.0,5.0,2.0
4607,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,2.0,,
4658,plenaire,,,,79.0,1.0,
4658,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,2.0,,
4658,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,plaatsvervangend-lid-aanwezigheid,6.0,,
4658,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",niet-lid-aanwezigheid,2.0,,
4658,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,1.0,,
