member_id,question_id,role,publicatiedatum,onderwerp
4628,2009857,vraagsteller,2026-05-26,VDAB  -  Proef- en pilootprojecten
4440,2009857,minister,2026-05-26,VDAB  -  Proef- en pilootprojecten
4615,2031876,vraagsteller,2026-06-26,Vlaams Agentschap voor Personen met een Handicap (VAPH)  -  Kwartaalcijfers
2836,2031876,minister,2026-06-26,Vlaams Agentschap voor Personen met een Handicap (VAPH)  -  Kwartaalcijfers
4416,2030858,vraagsteller,2026-06-26,Zorgwonen  -  Gevolgen voor inkomensvervangende tegemoetkoming (IVT)
2836,2030858,minister,2026-06-26,Zorgwonen  -  Gevolgen voor inkomensvervangende tegemoetkoming (IVT)
4613,2030549,vraagsteller,2026-06-26,Sociale woningen  -  Huurcontracten
4604,2030549,minister,2026-06-26,Sociale woningen  -  Huurcontracten
4077,2030375,vraagsteller,2026-06-26,Mijn VerbouwLening  -  Stand Van Zaken
4604,2030375,minister,2026-06-26,Mijn VerbouwLening  -  Stand Van Zaken
3433,2029514,vraagsteller,2026-06-26,Woonzorgcentra (wzc's)  -  Inzet interimpersoneel en zelfstandig verpleegkundigen (4)
2836,2029514,minister,2026-06-26,Woonzorgcentra (wzc's)  -  Inzet interimpersoneel en zelfstandig verpleegkundigen (4)
4415,2029143,vraagsteller,2026-06-26,Woonzorgcentra  -  Personeelsinzet naargelang uitbatingsvorm
2836,2029143,minister,2026-06-26,Woonzorgcentra  -  Personeelsinzet naargelang uitbatingsvorm
4642,2028018,vraagsteller,2026-06-26,Sociale koopwoningen  -  Evolutie en maatregelen
4604,2028018,minister,2026-06-26,Sociale koopwoningen  -  Evolutie en maatregelen
4386,2027993,vraagsteller,2026-06-26,Woningmarkt  -  Trends en problemen
4604,2027993,minister,2026-06-26,Woningmarkt  -  Trends en problemen
4386,2027991,vraagsteller,2026-06-26,Woonbehoefte en nieuwbouwaanbod  -  Structurele mismatch
4604,2027991,minister,2026-06-26,Woonbehoefte en nieuwbouwaanbod  -  Structurele mismatch
4386,2027989,vraagsteller,2026-06-26,Sociale huisvesting  -  Wachttijden en doorstroming
4604,2027989,minister,2026-06-26,Sociale huisvesting  -  Wachttijden en doorstroming
4629,2027847,vraagsteller,2026-06-26,Solvabiliteitstoets bij kandidaat huurders  -  Arrest Raad van State
4604,2027847,minister,2026-06-26,Solvabiliteitstoets bij kandidaat huurders  -  Arrest Raad van State
4443,2026552,vraagsteller,2026-06-26,Vlaamse feestdag  -  Feestcheques
2836,2026552,minister,2026-06-26,Vlaamse feestdag  -  Feestcheques
4443,2026551,vraagsteller,2026-06-26,Vlaamse feestdag  -  Feestcheques
3455,2026551,minister,2026-06-26,Vlaamse feestdag  -  Feestcheques
4636,2026379,vraagsteller,2026-06-26,Cameragebruik in jeugdhulpvoorzieningen  -  Privacy en rechtsbescherming jongeren
4440,2026379,minister,2026-06-26,Cameragebruik in jeugdhulpvoorzieningen  -  Privacy en rechtsbescherming jongeren
4641,2024804,vraagsteller,2026-06-26,Wapenexport  -  Maandverslag dualusegoederen november 2025
3455,2024804,minister,2026-06-26,Wapenexport  -  Maandverslag dualusegoederen november 2025
4641,2024802,vraagsteller,2026-06-26,Wapenexport  -  Maandverslag dualusegoederen oktober 2025
3455,2024802,minister,2026-06-26,Wapenexport  -  Maandverslag dualusegoederen oktober 2025
3446,2024618,vraagsteller,2026-06-26,Eiwitshift  -  Projecten en middelen
2836,2024618,minister,2026-06-26,Eiwitshift  -  Projecten en middelen
3446,2024617,vraagsteller,2026-06-26,Eiwitshift  -  Projecten en middelen
4440,2024617,minister,2026-06-26,Eiwitshift  -  Projecten en middelen
3446,2024616,vraagsteller,2026-06-26,Eiwitshift  -  Projecten en middelen
4604,2024616,minister,2026-06-26,Eiwitshift  -  Projecten en middelen
3446,2024615,vraagsteller,2026-06-26,Eiwitshift  -  Projecten en middelen
4430,2024615,minister,2026-06-26,Eiwitshift  -  Projecten en middelen
3446,2024614,vraagsteller,2026-06-26,Eiwitshift  -  Projecten en middelen
3455,2024614,minister,2026-06-26,Eiwitshift  -  Projecten en middelen
3446,2024612,vraagsteller,2026-06-26,Algemeen Rampenfonds  -  Afhandeling dossiers
3455,2024612,minister,2026-06-26,Algemeen Rampenfonds  -  Afhandeling dossiers
4410,2024401,vraagsteller,2026-06-26,Buitenlandse inmenging  -  Veiligheid Koerdische journalisten in Denderleeuw
3455,2024401,minister,2026-06-26,Buitenlandse inmenging  -  Veiligheid Koerdische journalisten in Denderleeuw
4410,2024399,vraagsteller,2026-06-26,Samenwerking EU-Bangladesh  -  Gevolgen voor Vlaamse export en eerlijke concurrentie
3455,2024399,minister,2026-06-26,Samenwerking EU-Bangladesh  -  Gevolgen voor Vlaamse export en eerlijke concurrentie
4415,2028039,vraagsteller,2026-06-25,Woonzorgcentra  -  Sale-and-leasebackconstructies
2836,2028039,minister,2026-06-25,Woonzorgcentra  -  Sale-and-leasebackconstructies
3433,2027780,vraagsteller,2026-06-25,Kraamzorg  -  Aanvraag
2836,2027780,minister,2026-06-25,Kraamzorg  -  Aanvraag
4613,2027314,vraagsteller,2026-06-25,Sociale woonprojecten  -  Subsidie sloop en infrastructuur (SSI)
4604,2027314,minister,2026-06-25,Sociale woonprojecten  -  Subsidie sloop en infrastructuur (SSI)
3430,2026941,vraagsteller,2026-06-25,Conformiteitsattest  -  Stand van zaken (2)
4604,2026941,minister,2026-06-25,Conformiteitsattest  -  Stand van zaken (2)
4443,2026544,vraagsteller,2026-06-25,"Sociale huurders  -  Taalkennisvereiste, uitvoering en flankerende maatregelen"
2789,2026544,minister,2026-06-25,"Sociale huurders  -  Taalkennisvereiste, uitvoering en flankerende maatregelen"
