member_id,mandaatgroep,mandaat,belangrijk_mandaat,datum_van,datum_tot
4403,Lokale mandaten,OCMW-raadslid Ninove,N,2019-01-03T00:00:00+0100,
4403,Lokale mandaten,lid Bijzonder Comité voor de Sociale Dienst Ninove,N,2019-01-03T00:00:00+0100,2019-09-12T23:59:59+0200
4403,Lokale mandaten,gemeenteraadslid Ninove,N,2013-02-25T00:00:00+0100,
4403,Lokale mandaten,"schepen van zorg en welzijn, onderwijs, werk en integratie Ninove",N,2024-12-05T00:00:00+0100,
4403,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2024-12-06T23:59:59+0100
4572,Lokale mandaten,gemeenteraadslid Lommel,N,2019-01-01T00:00:00+0100,
4572,Lokale mandaten,provincieraadslid Limburg,N,2018-12-01T00:00:00+0100,2022-05-17T23:59:59+0200
4445,Lokale mandaten,OCMW-raadslid Mechelen,N,2001-01-02T00:00:00+0100,2007-01-01T00:00:00+0100
4445,Lokale mandaten,gemeenteraadslid Sint-Katelijne-Waver,N,2013-01-02T00:00:00+0100,
4445,Lokale mandaten,gemeenteraadslid Mechelen,N,2007-01-02T00:00:00+0100,2010-01-27T00:00:00+0100
4445,Lokale mandaten,schepen Sint-Katelijne-Waver,N,2024-12-02T00:00:00+0100,
4445,Lokale mandaten,schepen Sint-Katelijne-Waver,N,2013-01-02T00:00:00+0100,2019-01-01T00:00:00+0100
4445,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2024-12-03T23:59:59+0100
4445,Federale mandaten,deelstaatsenator,N,2020-10-13T00:00:00+0200,2023-11-08T23:59:59+0100
4059,Lokale mandaten,burgemeester Tienen,N,2015-09-01T00:00:00+0200,2024-12-01T23:59:59+0100
4059,Lokale mandaten,gemeenteraadslid Tienen,N,2001-01-01T00:00:00+0100,
4059,Lokale mandaten,eerste schepen Tienen,N,2013-01-02T00:00:00+0100,2015-07-27T23:59:59+0200
4059,Lokale mandaten,schepen Tienen,N,2001-01-01T00:00:00+0100,2013-01-01T23:59:59+0100
4059,Federale mandaten,deelstaatsenator,N,2025-01-24T00:00:00+0100,
4059,Federale mandaten,volksvertegenwoordiger kieskring Leuven,N,2007-06-10T00:00:00+0200,2010-06-12T23:59:59+0200
4059,Europese mandaten,vast lid van de Benelux Interparlementaire Assemblee,N,2025-01-15T00:00:00+0100,
3461,Lokale mandaten,gemeenteraadslid Edegem,N,2013-01-01T00:00:00+0100,
3461,Lokale mandaten,voorzitter van de gemeenteraad Edegem,N,2013-01-02T00:00:00+0100,2024-12-04T23:59:59+0100
3461,Lokale mandaten,schepen Edegem,N,2021-03-01T00:00:00+0100,2024-12-04T23:59:59+0100
3461,Federale mandaten,delegatieleider Interparlementaire Klimaatdialoog,N,2020-01-13T00:00:00+0100,2021-12-31T23:59:59+0100
3461,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2021-02-09T23:59:59+0100
3461,Federale mandaten,deelstaatsenator,N,2014-07-03T00:00:00+0200,2014-07-24T23:59:59+0200
3461,Federale mandaten,rechtstreeks verkozen senator,N,2010-06-13T00:00:00+0200,2010-07-06T23:59:59+0200
3461,Europese mandaten,vast lid van de Parlementaire Vergadering van de Raad van Europa,N,2020-12-03T00:00:00+0100,2021-02-25T23:59:59+0100
3461,Minister,"Vlaams minister van Werk, Economie, Innovatie en Sport",N,2014-07-25T00:00:00+0200,2019-10-01T07:00:00+0200
