member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
4387,J,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn,plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1332996,BRU,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn
4387,J,"Commissie voor Cultuur, Jeugd, Sport en Media",vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333053,CUL,"Commissie voor Cultuur, Jeugd, Sport en Media"
4387,J,"Bijzondere commissie voor de evaluatie van de aanpak van seksueel misbruik in de Kerk en in andere gezagsrelaties in het algemeen en van de rol van instellingen en voorzieningen op het terrein van jeugd, welzijn en onderwijs in het bijzonder",vast lid,2023-10-18T17:15:00+0200,2024-06-08T23:59:59+0200,1773153,EAM,"Bijzondere commissie voor de evaluatie van de aanpak van seksueel misbruik in de Kerk en in andere gezagsrelaties in het algemeen en van de rol van instellingen en voorzieningen op het terrein van jeugd, welzijn en onderwijs in het bijzonder"
4387,J,Commissie voor Wonen en Onroerend Erfgoed,vast lid,2019-10-09T14:00:00+0200,2020-09-28T13:59:59+0200,1333265,WON,Commissie voor Wonen en Onroerend Erfgoed
3430,J,Commissie voor Reglement en Samenwerking,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832500,REG,Commissie voor Reglement en Samenwerking
3430,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
3430,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,plaatsvervangend lid,2025-01-29T14:10:00+0100,,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
3430,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",vast lid,2024-10-09T16:45:00+0200,,1832493,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
3430,J,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Energie",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333177,LEE,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Energie"
3430,J,Commissie voor Reglement en Samenwerking,plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333268,REG,Commissie voor Reglement en Samenwerking
3430,J,Controlecommissie voor Regeringsmededelingen,plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333275,MED,Controlecommissie voor Regeringsmededelingen
3430,J,Commissie Vlaams Energie- en Klimaatplan,tweede ondervoorzitter,2022-03-30T14:00:00+0200,2024-06-08T23:59:59+0200,1622680,VEKP,Commissie Vlaams Energie- en Klimaatplan
