fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829393,2791,Kurt De Loor,Kurt,De Loor,Kieskring Oost-Vlaanderen,22,False,J,https://ws.vlpar.be/e/opendata/vv/2791?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065855
1829393,4711,Hiba Faraji,Hiba,Faraji,Kieskring Antwerpen,75,False,J,https://ws.vlpar.be/e/opendata/vv/4711?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2264401
1829393,4397,Hannelore Goeman,Hannelore,Goeman,Kieskring Brussel-Hoofdstad,95,False,J,https://ws.vlpar.be/e/opendata/vv/4397?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065848
1829393,4623,Nawal Maghroud,Nawal,Maghroud,Kieskring West-Vlaanderen,40,True,J,https://ws.vlpar.be/e/opendata/vv/4623?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065859
1829393,3221,Els Robeyns,Els,Robeyns,Kieskring Limburg,39,False,J,https://ws.vlpar.be/e/opendata/vv/3221?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065845
1829393,4406,Conner Rousseau,Conner,Rousseau,Kieskring Oost-Vlaanderen,123,False,J,https://ws.vlpar.be/e/opendata/vv/4406?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065844
1829393,4744,Jill Schellens,Jill,Schellens,Kieskring Vlaams-Brabant,96,False,J,https://ws.vlpar.be/e/opendata/vv/4744?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2268523
1829393,4087,Katia Segers,Katia,Segers,Kieskring Vlaams-Brabant,55,True,J,https://ws.vlpar.be/e/opendata/vv/4087?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065852
1829393,4637,Frederik Sioen,Frederik,Sioen,Kieskring Oost-Vlaanderen,73,False,J,https://ws.vlpar.be/e/opendata/vv/4637?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065846
1829393,3458,Freya Van den Bossche,Freya,Van den Bossche,Kieskring Oost-Vlaanderen,125,False,J,https://ws.vlpar.be/e/opendata/vv/3458?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065847
1829393,4736,Stephanie Vanden Eede,Stephanie,Vanden Eede,Kieskring Antwerpen,97,False,J,https://ws.vlpar.be/e/opendata/vv/4736?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2101991
1829393,4740,Tina Van Havere,Tina,Van Havere,Kieskring Oost-Vlaanderen,56,False,J,https://ws.vlpar.be/e/opendata/vv/4740?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2147698
1829393,4641,Kelly Van Tendeloo,Kelly,Van Tendeloo,Kieskring Antwerpen,74,True,J,https://ws.vlpar.be/e/opendata/vv/4641?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065853
1829393,4630,Kris Verduyckt,Kris,Verduyckt,Kieskring Limburg,9,True,J,https://ws.vlpar.be/e/opendata/vv/4630?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065854
1829393,4624,Bieke Verlinden,Bieke,Verlinden,Kieskring Vlaams-Brabant,121,False,J,https://ws.vlpar.be/e/opendata/vv/4624?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065842
1829393,4741,Gianna Werbrouck,Gianna,Werbrouck,Kieskring West-Vlaanderen,23,False,J,https://ws.vlpar.be/e/opendata/vv/4741?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2143455
1829394,3430,Robrecht Bothuyne,Robrecht,Bothuyne,Kieskring Oost-Vlaanderen,21,False,J,https://ws.vlpar.be/e/opendata/vv/3430?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478675
1829394,4605,Gilles Bultinck,Gilles,Bultinck,Kieskring Antwerpen,93,False,J,https://ws.vlpar.be/e/opendata/vv/4605?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065040
1829394,4114,An Christiaens,An,Christiaens,Kieskring Limburg,54,False,J,https://ws.vlpar.be/e/opendata/vv/4114?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2064997
1829394,4661,Kris Declercq,Kris,Declercq,Kieskring West-Vlaanderen,118,False,J,https://ws.vlpar.be/e/opendata/vv/4661?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2068973
1829394,4525,Stijn De Roo,Stijn,De Roo,Kieskring Oost-Vlaanderen,72,True,J,https://ws.vlpar.be/e/opendata/vv/4525?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2122756
1829394,4075,Bart Dochy,Bart,Dochy,Kieskring West-Vlaanderen,36,False,J,https://ws.vlpar.be/e/opendata/vv/4075?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478795
1829394,4572,Sofie Mertens,Sofie,Mertens,Kieskring Limburg,71,False,J,https://ws.vlpar.be/e/opendata/vv/4572?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2068972
1829394,4059,Katrien Partyka,Katrien,Partyka,Kieskring Vlaams-Brabant,38,True,J,https://ws.vlpar.be/e/opendata/vv/4059?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478755
