member_id,titel,werkgever,datum_van,datum_tot,datum_van_formaat,datum_tot_formaat
4661,Adjunct-kabinetschef,"minister-president van de Vlaamse Regering Yves Leterme - Kris Peeters (algemeen beleid, binnenlandse zaken, inburgering, institutionele hervormingen/ Begeleiding onderhandelingen regeringsformatie juli-december 2007)",2004-01-01T00:00:00+0100,2007-12-31T23:59:59+0100,YYYY,YYYY
4661,Raadgever,"vicepremier en minister van Begroting, Mobiliteit, Institutionele Hervormingen en Noordzee Yves Leterme (Begeleiding onderhandelingen akkoord staatshervorming februari 2008)",2008-01-01T00:00:00+0100,2008-12-31T23:59:59+0100,YYYY,YYYY
4661,"Raadgever, Eerste Minister Yves Leterme/ Herman Van Rompuy, voorzitter voorbereidende werkgroep Overlegcomité Federale Staat-Gemeenschappen-Gewesten",,2009-01-01T00:00:00+0100,2011-12-31T23:59:59+0100,YYYY,YYYY
4661,Raadgever onderhandelingen,Koninklijk Onderhandelaar J.L. Dehaene,2009-01-01T00:00:00+0100,2010-12-31T23:59:59+0100,YYYY,YYYY
4661,"Raadgever (BHV Gerechtelijk arrondissement, bevoegdheidsoverdrachten justitie, hervorming Overlegcomité, Verkeersveiligheidsfonds, samenwerkingsakkoorden justitie)",Staatssecretaris voor Staatshervorming Servais Verherstraeten,2011-01-01T00:00:00+0100,2014-12-31T23:59:59+0100,YYYY,YYYY
4070,stagedoend ambtenaar,"departement Onderwijs, afdeling Beleidscoördinatie, secretariaat-generaal",2000-01-01T00:00:00+0100,2001-01-01T00:00:00+0100,YYYY,YYYY
4070,wetenschappelijk medewerker,"Centrum voor onderwijsbeleid en -vernieuwing, KU Leuven",2002-01-01T00:00:00+0100,2003-01-01T00:00:00+0100,YYYY,YYYY
4070,leerkracht(stage)coördinator,Technisch Instituut Sint-Carolus,2003-01-01T00:00:00+0100,2009-01-01T00:00:00+0100,YYYY,YYYY
2791,project manager,ASLK NV,1995-01-01T00:00:00+0100,1999-01-01T00:00:00+0100,YYYY,YYYY
2791,communicatieverantwoordelijke jongeren,Fortis Bank,2000-01-01T00:00:00+0100,2004-01-01T00:00:00+0100,YYYY,YYYY
4395,kabinetsmedewerker Vlaams minister Fientje Moerman,Vlaamse regering,2003-01-01T00:00:00+0100,2006-01-01T00:00:00+0100,YYYY,YYYY
4395,kabinetschef schepen Sas van Rouveroij,stad Gent,2006-01-01T00:00:00+0100,2009-01-01T00:00:00+0100,YYYY,YYYY
4395,parlementair medewerker Vlaams volksvertegenwoordiger Sas van Rouveroij,Vlaams Parlement,2009-01-01T00:00:00+0100,2014-01-01T00:00:00+0100,YYYY,YYYY
4395,adjunct-kabinetschef Vlaams minister Sven Gatz,Vlaamse regering,2014-01-01T00:00:00+0100,2019-01-01T00:00:00+0100,YYYY,YYYY
4615,Huisarts,,1988-01-01T00:00:00+0100,,YYYY,
4074,consulent,VDAB,1991-01-01T00:00:00+0100,1992-01-01T00:00:00+0100,YYYY,YYYY
4074,sociaal inspecteur,RVA,1992-01-01T00:00:00+0100,1994-01-01T00:00:00+0100,YYYY,YYYY
